effMin0p9 OptionL0 : FM=54.1404 - THR=36 - ACC=0.656832 - FMtACC=35.5611
effMin0p7 OptionB0 : FM=54.14 - THR=36 - ACC=0.656173 - FMtACC=35.5252
effMin0p9 OptionN3 : FM=54.1077 - THR=36 - ACC=0.6558 - FMtACC=35.4838
effMin0p9 OptionX2 : FM=54.1077 - THR=36 - ACC=0.6558 - FMtACC=35.4838
effMin0p9 OptionH2 : FM=54.1077 - THR=36 - ACC=0.6558 - FMtACC=35.4838
effMin0p9 OptionR1 : FM=54.1077 - THR=36 - ACC=0.6558 - FMtACC=35.4838
effMin0p8 OptionL1 : FM=54.0895 - THR=36 - ACC=0.655428 - FMtACC=35.4518
effMin0p8 OptionV0 : FM=54.0895 - THR=36 - ACC=0.655428 - FMtACC=35.4518
effMin0p8 OptionF0 : FM=54.0895 - THR=36 - ACC=0.655428 - FMtACC=35.4518
effMin0p7 OptionS0 : FM=54.0445 - THR=36 - ACC=0.654387 - FMtACC=35.366
effMin0p7 OptionC0 : FM=54.0445 - THR=36 - ACC=0.654387 - FMtACC=35.366
effMin0p6 OptionA0 : FM=54.0119 - THR=36 - ACC=0.654053 - FMtACC=35.3267
effMin0p8 OptionC2 : FM=53.9923 - THR=36 - ACC=0.653967 - FMtACC=35.3092
effMin0p8 OptionM1 : FM=53.9923 - THR=36 - ACC=0.653967 - FMtACC=35.3092
effMin0p8 OptionW0 : FM=53.9923 - THR=36 - ACC=0.653967 - FMtACC=35.3092
effMin0p8 OptionG0 : FM=53.9923 - THR=36 - ACC=0.653967 - FMtACC=35.3092
effMin0p8 OptionS0 : FM=50.5132 - THR=37 - ACC=0.635987 - FMtACC=32.1257
effMin0p8 OptionC0 : FM=50.5132 - THR=37 - ACC=0.635987 - FMtACC=32.1257
effMin0p9 OptionU2 : FM=50.4272 - THR=37 - ACC=0.635366 - FMtACC=32.0398
effMin0p9 OptionE2 : FM=50.4272 - THR=37 - ACC=0.635366 - FMtACC=32.0398
effMin0p9 OptionO1 : FM=50.4272 - THR=37 - ACC=0.635366 - FMtACC=32.0398
